output_file,name,image_name,lambda,window_size,dmin,imscale,time,ssd
output,naive,cones1,1,7,230,1,1.0666666666666667,3346.91
output,dynamic,cones1,100,1,230,1,1.2166666666666666,8398.86
output,naive,art1,4,5,200,1,26.15,8592.55
output,dynamic,art1,4,1,230,1,28.866666666666667,14329.9
output,naive,aloe1,4,1,200,1,0.21666666666666667,4247.03
output,dynamic,aloe1,50,1,270,1,2.8833333333333333,8755.33
output,naive,baby1,300,1,300,1,0.21666666666666667,5076.57
output,dynamic,baby1,100,1,300,1,2.85,12811.1
output,naive,cloth1,400,7,260,1,3.3333333333333335,6084.61
output,dynamic,cloth1,150,1,260,1,3.066666666666667,13928.6
output,naive,rocks1,100,7,274,1,3.0166666666666666,6623.38
output,dynamic,rocks1,100,1,274,1,3.3333333333333335,10221.8
