output_file,name,image_name,lambda,window_size,dmin,imscale,time,ssim
output,naive,cones1,50,1,230,1,0.08333333333333333,0.544374
output,dynamic,cones1,100,1,230,1,1.2166666666666666,0.39646
output,naive,art1,100,1,230,1,1.6166666666666667,0.490281
output,dynamic,art1,4,1,230,1,28.866666666666667,0.605166
output,naive,aloe1,4,5,270,1,1.75,0.529653
output,dynamic,aloe1,50,1,270,1,2.8833333333333333,0.654334
output,naive,baby1,300,1,300,1,0.21666666666666667,0.513868
output,dynamic,baby1,100,1,300,1,2.85,0.65117
output,naive,cloth1,400,1,260,1,0.23333333333333334,0.617756
output,dynamic,cloth1,150,1,260,1,3.066666666666667,0.585746
output,naive,rocks1,100,7,274,1,3.0166666666666666,0.654456
output,dynamic,rocks1,50,1,274,1,3.2,0.665185
