name;sigma;best_metric;best_method
aloe1;3;0.916486;naive
art1;5;0.94687;iterative
baby1;5;0.94797;iterative
cloth1;5;0.951107;iterative
cones1;5;0.901072;iterative
flowerpots1;3;0.90637;naive
lampshade1;5;0.918461;iterative
midd1;5;0.931419;iterative
monopoly1;5;0.933909;iterative
plastic1;5;0.941356;iterative
rocks1;5;0.938945;iterative
wood1;5;0.938993;iterative
adirondack_im1;5;0.963381;iterative
backpack_im1;5;0.887517;iterative
bicycle_im1;5;0.92702;iterative
cable_im1;5;0.924368;iterative
classroom_im1;5;0.966815;iterative
mask_im1;5;0.904908;iterative
aloe1;3;0.916486;naive
aloe1;3;0.916486;naive
