name;window_size;best_metric;best_method
adirondack_im1;5;0.974548;iterative
aloe1;5;0.935097;iterative
art1;5;0.958625;iterative
baby1;5;0.964721;iterative
backpack_im1;5;0.913094;iterative
bicycle_im1;5;0.940653;iterative
cable_im1;5;0.940813;iterative
classroom_im1;5;0.974389;iterative
cloth1;5;0.967059;iterative
cones1;5;0.921442;iterative
flowerpots1;3;0.923997;naive
lampshade1;5;0.941437;iterative
mask_im1;5;0.920619;iterative
midd1;5;0.951395;iterative
monopoly1;5;0.950092;iterative
plastic1;5;0.962467;iterative
rocks1;5;0.952515;iterative
wood1;5;0.95896;iterative
